R1,,,,,,,,,,,,,,,,,,,,,,,,,,,e1z1r1p6,e1z1r1p5,e1z1r1p4,e1z1r1p3,e1z1r1p2,e1z1r1p1,,R1

R2,,,,,,e1z1r2p51,e1z1r2p49,e1z1r2p47,e1z1r2p45,e1z1r2p43,e1z1r2p41,e1z1r2p39,,,e1z1r2p33,e1z1r2p31,e1z1r2p29,x,e1z1r2p27,e1z1r2p25,e1z1r2p23,e1z1r2p21,e1z1r2p19,e1z1r2p17,e1z1r2p15,e1z1r2p13,e1z1r2p11,e1z1r2p9,e1z1r2p7,e1z1r2p5,e1z1r2p3,x,e1z1r2p1,R2
x,,,,,,e1z1r2p52,e1z1r2p50,e1z1r2p48,e1z1r2p46,e1z1r2p44,e1z1r2p42,e1z1r2p40,e1z1r2p38,e1z1r2p36,e1z1r2p34,e1z1r2p32,e1z1r2p30,x,e1z1r2p28,e1z1r2p26,e1z1r2p24,e1z1r2p22,e1z1r2p20,e1z1r2p18,e1z1r2p16,e1z1r2p14,e1z1r2p12,e1z1r2p10,e1z1r2p8,e1z1r2p6,e1z1r2p4,x,e1z1r2p2,x

R3,e1z1r3p61,e1z1r3p59,e1z1r3p57,e1z1r3p55,e1z1r3p53,e1z1r3p51,e1z1r3p49,e1z1r3p47,e1z1r3p45,e1z1r3p43,e1z1r3p41,e1z1r3p39,e1z1r3p37,e1z1r3p35,e1z1r3p33,e1z1r3p31,x,e1z1r3p29,e1z1r3p27,e1z1r3p25,e1z1r3p23,e1z1r3p21,e1z1r3p19,e1z1r3p17,e1z1r3p15,e1z1r3p13,e1z1r3p11,e1z1r3p9,e1z1r3p7,e1z1r3p5,x,e1z1r3p3,e1z1r3p1,R3
x,,e1z1r3p60,e1z1r3p58,e1z1r3p56,e1z1r3p54,e1z1r3p52,e1z1r3p50,e1z1r3p48,e1z1r3p46,e1z1r3p44,e1z1r3p42,e1z1r3p40,e1z1r3p38,e1z1r3p36,e1z1r3p34,e1z1r3p32,x,e1z1r3p30,e1z1r3p28,e1z1r3p26,e1z1r3p24,e1z1r3p22,e1z1r3p20,e1z1r3p18,e1z1r3p16,e1z1r3p14,e1z1r3p12,e1z1r3p10,e1z1r3p8,e1z1r3p6,x,e1z1r3p4,e1z1r3p2,x

R4,,,,,e1z1r4p52,e1z1r4p50,e1z1r4p48,e1z1r4p46,e1z1r4p44,e1z1r4p42,e1z1r4p40,e1z1r4p38,e1z1r4p36,e1z1r4p34,e1z1r4p32,x,e1z1r4p30,e1z1r4p28,e1z1r4p26,e1z1r4p24,e1z1r4p22,e1z1r4p20,e1z1r4p18,e1z1r4p16,e1z1r4p14,e1z1r4p12,e1z1r4p10,e1z1r4p8,e1z1r4p6,x,e1z1r4p4,e1z1r4p2,,R4
x,,,,,e1z1r4p51,e1z1r4p49,e1z1r4p47,e1z1r4p45,e1z1r4p43,e1z1r4p41,e1z1r4p39,e1z1r4p37,e1z1r4p35,e1z1r4p33,e1z1r4p31,x,e1z1r4p29,e1z1r4p27,,e1z1r4p25,e1z1r4p23,e1z1r4p21,e1z1r4p19,e1z1r4p17,e1z1r4p15,e1z1r4p13,e1z1r4p11,e1z1r4p9,e1z1r4p7,x,e1z1r4p5,e1z1r4p3,e1z1r4p1,x

R5,,,,,,,,,e1z1r5p46,e1z1r5p44,e1z1r5p42,e1z1r5p40,e1z1r5p38,e1z1r5p36,x,e1z1r5p34,e1z1r5p32,e1z1r5p30,e1z1r5p28,e1z1r5p26,e1z1r5p24,e1z1r5p22,e1z1r5p20,e1z1r5p18,e1z1r5p16,e1z1r5p14,e1z1r5p12,e1z1r5p10,x,e1z1r5p8,e1z1r5p6,e1z1r5p4,e1z1r5p2,R5
x,,,,,,,,,e1z1r5p45,e1z1r5p43,e1z1r5p41,e1z1r5p39,e1z1r5p37,e1z1r5p35,x,e1z1r5p33,e1z1r5p31,e1z1r5p29,e1z1r5p27,e1z1r5p25,e1z1r5p23,e1z1r5p21,e1z1r5p19,e1z1r5p17,e1z1r5p15,e1z1r5p13,e1z1r5p11,e1z1r5p9,x,e1z1r5p7,e1z1r5p5,e1z1r5p3,e1z1r5p1,x

R6,,,,,,,,,,,e1z1r6p42,e1z1r6p40,e1z1r6p38,x,e1z1r6p36,e1z1r6p34,e1z1r6p32,e1z1r6p30,e1z1r6p28,e1z1r6p26,e1z1r6p24,e1z1r6p22,e1z1r6p20,e1z1r6p18,e1z1r6p16,e1z1r6p14,e1z1r6p12,x,e1z1r6p10,e1z1r6p8,e1z1r6p6,e1z1r6p4,e1z1r6p2,R6
x,,,,,,,,,,,,e1z1r6p39,e1z1r6p37,x,e1z1r6p35,e1z1r6p33,e1z1r6p31,e1z1r6p29,e1z1r6p27,e1z1r6p25,e1z1r6p23,e1z1r6p21,e1z1r6p19,e1z1r6p17,e1z1r6p15,e1z1r6p13,e1z1r6p11,x,e1z1r6p9,e1z1r6p7,e1z1r6p5,e1z1r6p3,e1z1r6p1,x

R7,,,,,,,,,,,,,,e1z1r7p36,e1z1r7p34,e1z1r7p32,e1z1r7p30,e1z1r7p28,e1z1r7p26,e1z1r7p24,e1z1r7p22,e1z1r7p20,e1z1r7p18,e1z1r7p16,e1z1r7p14,e1z1r7p12,x,e1z1r7p10,e1z1r7p8,e1z1r7p6,e1z1r7p4,e1z1r7p2,,R7
x,,,,,,,,,,,,,,,,e1z1r7p33,e1z1r7p31,e1z1r7p29,e1z1r7p27,e1z1r7p25,e1z1r7p23,e1z1r7p21,e1z1r7p19,e1z1r7p17,e1z1r7p15,e1z1r7p13,x,e1z1r7p11,e1z1r7p9,e1z1r7p7,e1z1r7p5,e1z1r7p3,e1z1r7p1,x

R8,,,,,,,,,,,,,,,,,,,,,e1z1r8p22,e1z1r8p20,e1z1r8p18,e1z1r8p16,e1z1r8p15,x,e1z1r8p14,e1z1r8p12,e1z1r8p10,e1z1r8p8,e1z1r8p6,e1z1r8p4,e1z1r8p2,R8
x,,,,,,,,,,,,,,,,,,,,,,,,,,x,e1z1r8p13,e1z1r8p11,e1z1r8p9,e1z1r8p7,e1z1r8p5,e1z1r8p3,e1z1r8p1,x
