R1,,,,,,,,,,,,,,,,,,e1z2r1pX,R1
x,,,,,,,,,,,,,,,,,,e1z2r1pX,x
x,,,,,,,,,,,,,,e1z2r1pX,e1z2r1pX,,e1z2r1pX,e1z2r1pX,x
x,,,,,,,,,,,,,,e1z2r1pX,e1z2r1pX,e1z2r1pX,e1z2r1pX,e1z2r1pX,x
 ,,,,,,,,,,,,,,,,,,,x
R2,,,,,,,,,,,e1z2r2pX,,,,,,,,R2
x,,,,,,,,,,,e1z2r2p13,e1z2r2p14,,e1z2r2p6,e1z2r2p7,e1z2r2p5,e1z2r2p3,e1z2r2p4,R2
x,,,,,,,,,,,e1z2r2p11,e1z2r2p12,e1z2r2p10,e1z2r2p8,e1z2r2p9,,e1z2r2p1,e1z2r2p2,x
 ,,,,,,,,,,,,,,,,,,x, 
R3 R4,,,,e1z2r4p1,e1z2r4p2,e1z2r4p5,e1z2r4p7,e1z2r4p6,,,e1z2r3p34,e1z2r3p35,e1z2r3p33,e1z2r3p31,e1z2r3p30,,e1z2r3p2,e1z2r3p1,R3 R4
x,,,,,,,e1z2r4p9,e1z2r4p8,,,e1z2r3p36,e1z2r3p37,,e1z2r3p29,e1z2r3p28,,e1z2r3p4,e1z2r3p3,x
x,,,,,,,e1z2r4p11,,,,,e1z2r3p39,,e1z2r3p27,,,,e1z2r3p5,x
x,e1z2r4p25,e1z2r4p26,e1z2r4p24,e1z2r4p21,e1z2r4pX,,e1z2r4p13,e1z2r4p12,,,e1z2r3p40,e1z2r3p41,,e1z2r3p25,e1z2r3p26,,e1z2r3p6,e1z2r3p7,x
x,e1z2r4p27,e1z2r4p28,,e1z2r4p22,e1z2r4p22,e1z2r4p17,e1z2r4p15,e1z2r4p14,,,e1z2r3p42,e1z2r3p43,,e1z2r3p23,e1z2r3p24,,e1z2r3p8,e1z2r3p9,x
x,,e1z2r4p30,,,,,,,,,e1z2r3p44,,,,e1z2r3p22,,e1z2r3p10,,x
x,e1z2r4p31,e1z2r4p32,,e1z2r4p36,e1z2r4p38,e1z2r4p39,x,e1z2r4p40,,,e1z2r3p46,e1z2r3p45,,e1z2r3pX,e1z2r3p20,,e1z2r3p12,e1z2r3p11,x
x,,,e1z2r4pX,e1z2r4p35,e1z2r4p37,,,e1z2r4p42,x,x,e1z2r3p48,e1z2r3p47,,e1z2r3pX,e1z2r3p18,e1z2r3p16,e1z2r3p14,e1z2r3p13,x
 ,,,,,,,,x,x,x,x,,,,,,,, 
x,,,,,,,,x,x,x,x,,,,,,,,x
